locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
244,"ZA","11","Cape Town","",-33.9258,18.4232,,
245,"ZA","06","Pretoria","",-25.7069,28.2294,,
246,"ZA","02","Pietermaritzburg","",-29.6168,30.3928,,
247,"ZA","10","Potchefstroom","",-26.7167,27.1000,,
248,"ZA","03","Bloemfontein","",-29.1211,26.2140,,
249,"ZA","02","Durban","",-29.8579,31.0292,,
250,"ZA","05","Grahamstown","",-33.3042,26.5328,,
251,"ZA","11","Stellenbosch","",-33.9346,18.8668,,
252,"ZA","06","Sandton","",-26.0500,27.9667,,
253,"ZA","06","Johannesburg","",-26.2052,28.0498,,
254,"ZA","05","Uitenhage","",-33.7576,25.3971,,
255,"ZA","06","Parkview","",-26.1653,28.0244,,
256,"ZA","11","Wynberg","",-33.9833,18.4000,,
257,"ZA","06","Bedfordview","",-26.1767,28.1422,,
258,"ZA","11","Parow","",-33.8972,18.5999,,
259,"ZA","06","Vanderbijlpark","",-26.7117,27.8379,,
260,"ZA","07","Middelburg","",-25.7751,29.4648,,
261,"ZA","06","Marshalltown","",-26.2000,28.0833,,
262,"ZA","05","East London","",-33.0111,27.9100,,
263,"ZA","06","Olifantsfontein","",-25.9493,28.2295,,
264,"ZA","06","Lynnwood","",-25.7597,28.2651,,
265,"ZA","06","Rosslyn","",-25.6242,28.0942,,
266,"ZA","06","Houghton","",-26.1624,28.0513,,
267,"ZA","06","Silverton","",-25.7259,28.3137,,
268,"ZA","11","Roggebaai","",-33.9167,18.4333,,
328,"MA","19","El Jadida","",33.2549,-8.5060,,
329,"MA","01","Agadir","",30.4000,-9.6000,,
330,"MA","07","Anfa","",33.5914,-7.6747,,
331,"MA","07","Mohammedia","",33.6942,-7.3925,,
332,"MA","40","Tétouan","",35.5736,-5.3753,,
333,"MA","19","Marrakech","",31.6315,-8.0083,,
334,"EG","11","Cairo","",30.0771,31.2859,,
335,"EG","06","Alexandria","",31.2156,29.9553,,
336,"KE","05","Nairobi","",-1.2833,36.8167,,
337,"KE","08","Eldoret","",0.5167,35.2833,,
338,"KE","01","Nyeri","",-0.4167,36.9500,,
339,"KE","02","Mombasa","",-4.0500,39.6667,,
340,"CM","11","Yaoundé","",3.8667,11.5167,,
341,"CM","11","Mbalmayo","",3.5167,11.5000,,
342,"CM","05","Douala","",4.0503,9.7000,,
343,"CM","05","Akwa","",4.0500,9.7000,,
344,"CM","05","Edéa","",3.8000,10.1333,,
345,"CM","08","Bafoussam","",5.4667,10.4167,,
346,"ZA","06","Kempton Park","",-26.0988,28.2330,,
347,"ZA","05","Trust","",-31.4563,27.6035,,
348,"ZA","05","Walmer","",-33.9770,25.5890,,
349,"ZA","11","Elandsfontein","",-33.1712,19.3308,,
350,"ZA","06","Maraisburg","",-26.1752,27.9394,,
351,"ZA","06","Edenvale","",-26.1392,28.1658,,
352,"SN","01","Dakar","",14.6708,-17.4381,,
353,"SZ","03","Kwaluseni","",-26.4833,31.3333,,
354,"ZA","05","Butterworth","",-32.3308,28.1498,,
355,"ZA","11","Bellville","",-33.9002,18.6285,,
356,"ZA","03","Welkom","",-27.9864,26.7066,,
357,"ZW","04","Harare","",-17.8178,31.0447,,
358,"NA","21","Windhoek","",-22.5700,17.0836,,
359,"NG","05","Lagos","",6.4531,3.3958,,
756810,"NZ","F9","Strandon","4341",-39.0540,174.0943,,
756811,"PH","33","Anibong","4007",14.2149,121.4662,,
756812,"NZ","F7","Oamaru North","9400",-45.0801,170.9803,,
756813,"TH","70","","",6.5399,101.2813,,
756814,"TH","74","","",13.8878,101.4050,,
756815,"IN","19","Basavani","",13.5946,75.2720,,
756816,"PT","20","Galveias","4990-550",41.7747,-8.6153,,
756817,"DE","06","Schwichteler","49456",52.7667,8.1667,,
756818,"DE","02","Grunertshofen","82276",48.1833,11.0833,,
756819,"DE","02","Sixtnitgern","85235",48.3333,11.2167,,
756820,"DE","02","Neuenbuch","97909",49.8053,9.4108,,
756821,"DE","06","Rittmarshausen","37130",51.4833,10.1000,,
756822,"AT","06","Feistritz","8264",47.1167,15.9167,,
756823,"US","MN","Winton","55731",47.9263,-91.8007,676,218
